latin,non-latin
Calaccitrera nandanatattva / Pārthapratima Bandyopādhyāẏa.,
Calanabilera itikathā / [Lekhaka] Ema. E. Hāmida.,
Dojakhera oma / Ākhatārujjāmāna Iliẏāsa.,
"Cabbiśa Paragāṇā : Uttara, Dakshiṇa, Sundarabana / Kamala Caudhurī.",
Bṛshti bilāsa / Humāẏūana Āhameda.,
"Bruṭāsa, tumio! / Cāṇakya Sena.",
Byartha nāẏikā / Tārāśaṅkara Bandyopādhyāẏa.,
Byaktihatyāra sapakshe : bāro galpe santrāsabādī āmi / Śailena Sarakāra.,
Yakhana palātaka : muktiyuddhera dinaguli / Golāma Muraśida.,
Yakhana yemana / Sañjība Caṭṭopādhyāẏa.,
Uṛo khai / Bimala Kara.,
Calo yai... / Mamatā Byānārjī.,
Calamāna dina / Hosane Ārā Śāheda.,
Calaccitra pāṭha / Phāhamidula Haka = Chalochitro paath / by Fahmidul Haq.,
"Calaccitrera cālacitra / saṃkalana o sampādanā, Satyena Caṭṭopādhyāẏa, Santu Basu ; sampādanā upadeshṭā, Mr̥gāṅkaśekhara Rāẏa ; sampādanā sahayogī, Gautama Caṭṭopādhyāẏa.",
"Calaccitre bitarka / sampādaka Śakti Basu, Śubhendu Dāśagupta.",
Calamāna jībana / [lekhaka] Pabitra Gaṅgopādhyāẏa.,
"Calaccitrāẏita kāhinī / Pratibhā Basu ; sampādanā, Damaẏanti Basu Siṃ = Chalachchitrayita kahini / a collection of picturised novels & stories of Prativa Basu.",
Calliśa plāsa / Tārāpada Rāẏa.,
Cale musāphira / Jasīma Uddīna.,
Calaccitra cañcarī / Sandīpana Caṭṭopādhyāẏa.,
Cakita camake / [lekhaka] Binaẏajībana Ghosha.,
Cakra-bakra / Bāṇī Rāẏa.,
Yakhana krītadāsa : smr̥ti 71 / Nājima Māhamuda.,
Ulkāra ālo / Praśānta Saradāra.,
Uṛanta nāmābalī / Bijaẏā Mukhopādhyāẏa.,
"Creative density : contemporary art of the Golden Bengal / editorial coordination, Enrico Bossan.",
Rumīra Masanabī / [lekhaka] Manirauddīna Iusupha.,
Rupāli srota / Ānoẏārā Saiẏada Haka.,
Bhāratacandrera Annadāmaṅgala / sampādaka Śrīkārtika Bhadra.,
Bhāgabati kathā : daśama skandha / Bibhābatī Debī.,
Bhārata-śramajībī / Kānāi Lāla Caṭṭopādhyāẏa sampādita.,
Bhālobāsāra kabitā / Tārāpada Rāẏa.,
Bhorera āṛāla / Dibyendu Pālita.,
Bhrashṭā rajanīgandhā / Kālīpada Koṅāra.,
Bhāshāra itibr̥tta / Sukumāra Sena.,
Rūpe-arūpe / Amalakānti Caṭṭopādhyāẏa.,
"Bhāshā kuhakinī / Saumitra Biśvāsa ; alaṃkaraṇa, Gautama Karmakāra = Bhasa kuhakini / by Soumitra Biswas.",
Bhūmikampera āge / Ratanakumāra Ghosha.,
Bibeka-cūṛāmaṇi : mūlaśloka o Baṅgānubāda sahita sarala byākhyā / Saṅkarācārya biracita ; Baṅgānubādaka o byākhyātā Nārāẏaṇānandatīrtha.,
Bibekānanda parikramā / Manorañjana Basu.,
Bibekānanda-yuga / [lekhaka] Nareśa Candra Ghosha.,
Bibhūti smr̥ti / Sujitakumāra Nāga sampādita.,
Bibartita Bhārata : prāgaitihāsika theke ādiyuga / Indrajit̲ [Rāẏa].,
"Samagra racanābalī / Subhāshacandra Basu ; [sampādanā, Śiśirakumāra Basu ; anubāda, Sumana Caṭṭopādhyāẏa, Sugata Basu].",
"Bibekānandera sāhitya / Jaẏanta Gosvāmī, Māẏāñjanā Gosvāmī.",
Bibi kāhinī / Śakti Caṭṭopādhyāẏa.,
Bibarṇa arkiḍa / Saiẏada Mustāphā Sirāja.,
Bibāgī bhramara / [lekhaka] Prābodhakumāra Sanyāla.,
Samakāle Bidyāsāgara / Svapana Basu.,
Samaparimāṇa māṭi / Dulāla Ghosha.,
"R̥gveda saṃhitā / Rameśacandra Dattera anubāda abalambane ; bhūmikā, Hiraṇmaẏa Bandyopādhyāẏa.",
R̥tu Guha : Rabīndrasaṃgīta = Ritu Guha : songs of Rabindranath.,
Bibhinna ākāśa / Pradīpa Rāẏagupta.,
Pūrbadeśera kiṃbadantī / Śāmasula Isalāma.,
Saptama svarga / Śacindranātha Bandyopādhyāẏa.,
Sapta ḍiṅgā / [lekhaka] Samaresá Basu.,
Sapuṃsaka ahaṃkāra / Anupama Hāẏāt̲.,
Sarāikhānāra yātrī / [lekhaka] Ibane Imāma.,
Satyajitera citranāṭya / Kshetra Gupta.,
Saudāminīra maraṇakāla / Mihira Bhaṭṭācārya.,
"Saumitra Caṭṭopādhyāẏa / sampādaka Jībendu Rāẏa ; upadeshṭā, Sebābrata Gupta ; mukhabandha, Mr̥nāla Sena.",
Saubhāgyalakshmī tantram / Bhairaba Śāstrī (Siddha Bhairaba) praṇīta.,
Saubhāgẏera paraśamaṇi / Imāma Gāyālī Praṇīta 'Kīmiẏāẏe Sātā' Data-Era Sarala Balānubāda ; anubādaka Ābadūla Khāleka.,
Saṭīka jādunagara / Rāghaba Bandyopādhyāẏa.,
Sarala satya / Sunīla Gaṅgopādhyāẏa.,
Saradaḥ śatam / Śibaprasāda Samāddāra.,
Saptama gosvāmī / Śaktipada Rājaguru.,
Saptasindhura putrakanyā / Dīpaka Candra.,
Sarasa galpa / Pārtha Caṭṭopādhyāẏa.,
"Sarasa galpa / sampādanā, Pradyota Senagupta.",
Sarbbānandera dibyajībana / Nanigopala Siddhantabagisa.,
Sarasvatīra khāsamahala / Monālisā Caṭṭopādhyāẏa = Swarasatir khasmohal / by Monalisa Chattopadhya.,
Caritrera cālacitra / Bimala Mitra.,
Bhālabāsāẏa basabāsa / Śahīda Ākhanda.,
Bhālobāsā ciraśatru / Ātāura Rahamāna.,
"Bhālobāsā, mandabāsā / Ānisula Haka.",
Bhālobāsāra cokha / Śubhamānasa Ghosha.,
Bhālobāsāra rāte / Saiẏada Śāmasula Haka.,
Bhālobāsāra padābali / Saiẏada Śāmasula Haka.,
Bhālobāsāra galpa / Anitā Agnihotrī = Bhalobasar galppo / by Anita Agnihotri.,
Bhālobāsāra kathāmālā / Rabīndra Gopa = Bhalobasar khatamala / collected poems of Rabindra Gope.,
Bhāratabhāgera aśrukaṇā / Karuṇāmaẏa Gosvāmī.,
Bhālobāsāra ālo / Nīlāñjana Caṭṭopādhyāẏa.,
Bharā joẏāra / Amala Kr̥shṇa Rāẏa = Bhora joyar / by Amal Krishna Roy.,
Bhārataśilpera kathā / Akshayẏakumāra Maitreẏa ; Dīneśacandra Sarakārera bhūmikā saṃbalita.,
Bhārataśilpī Tārāśaṅkara / Jagadiśa Bhaṭṭācārya.,
Bhorabelāra ālo / Nanditā Ācārya Cakrabartī.,
Bibidha bibasvāna / Rabīndra Ghosha.,
Bibhūti bīthikā / Śrībibhūtibhūshaṇa Bandyopādhyāẏa.,
Bibekānanda smr̥ti / Biśvanātha De sampādita.,
"R̥k-saṃhitā = R̥ksaṃhitā : with English translation, construction, word-meaning, commentaries of Skanda and Veṅkaṭa with notes thereon, translation of Sāyaṇa's commentary into English and Bengali, exposition of Sāyanabhāṣya in Sanskrit, English, and Bengali, western interpretations, and appendices / edited by Sitanath Goswami and Himansu Narayan Chakravarti.",
Bibidha samālocanā / Dilīpa Mālākāra.,
"Samājera gāna / [kathā o sūra, Ānoẏārauddina Khāna ; sampādanā, Sigamā Hudā].",
Samālocanā samagra / Jībanānanda Dāśa ; Ābadula Mānnāna Saiẏada sampādita.,
Samaẏera phula / Hājerā Najarula.,
Samācāra ei / Obāẏeda-ula-Haka.,
"Sambuddha racanābalī / upasthāpaka, Gautama Bhadra ; sampādanā, Prabīra Mukhopādhyāẏa.",
Samaẏera padacinha / Haribhūshaṇa Pāla.,
Samaẏera ḍāka / Pūrṇendu Basu.,
"R̥tvikakumāra Ghaṭaka / sampādanā, Atanu Pāla.",
Samana jari / Gamacha Palasa.,
Sambhabā ananyá / [lekhaka] Sānāula Haka.,
Samāja-kalyāṇa / [lekhika] Daulatunnechā Khātuna.,
Sacchidra jala / Nirmala Ācārya.,
Sabuje sonāẏa / Premendra Mitra.,
Sabinaẏa nibedana / Baruṇakumāra Cakrabartī.,
Candraboṛāra cumu / Bimala Sarakāra = Chandraborar chumu / by Bimal Sarkar.,
Rūpa-kalpa / Gaurīsaṅkara Bhaṭṭācārya sampādita.,
Rūpasī bihaṅginī ; Ekatre du'khāni upanyāsa: Rūpasī bihaṅginī o Pratyākhyāna.,
Rūpasī pratibeśī ; Nepāla-bhramaṇa-kathā / [lekhaka] Buddhadeba Bhaṭṭacārya.,
"Rūpālī bātāsa / Ema Āra. Ākhatāra ""Mukula"".",
Rūpadarśīra saṃbādabhāshya / Rūpadarśī [i.e. Gau. Ghosha].,
Bhāṭideśera kiṃbadantī / Śāmasula Isalāma.,
Ryaṅga-byaṅga / Karuṇāmaẏa Gosbāmī.,
Rūpāntarera galpagāthā / Mañju Sarakāra = Rupantorer galpagatha / by Manju Sarkar.,
Bhūbana sīmānte / Kalyāṇī Bhaṭṭacārya.,
"Bibhūtibhūshaṇa galpasamagra / Bibhūtibhūshaṇa Bandyopādhāẏa ; [sampādanā, Jitendranātha Cakrabartī, Caṇḍidāsa Caṭṭopādhyāẏa, Manīśa Cakrabartī.",
Bibādī rāga / Saiẏada Mustāphā Sirāja.,
Bibekānandera biplabacintā / Mitra Kauṭilya.,
Bibāhitera brahmacaryya / Svāmī Svarūpānanda Paramahaṃsadeba.,
"Bibāhera lokācāra / mukhabandha, Nihārarañjana Rāẏa ; sampādaka Dīnendrakumāra Sarakāra.",
"Bibāhera lokācāra / mukhabandha, Nīhārarañjana Rāẏa ; Dīnendrakumāra Sarakāra sampādita.",
"Samabāẏa nāṭaka / sampādanāẏa, Badi-uja-jāmāna.",
"Samagra prabandha / Jībanānanda Dāśa ; sampādanā, Bhūmendra Guha.",
Bibhūti-bicitrā / [lekhaka] Bibhūtibhūshaṇa Bandyopādhyāẏa [granthapañjī saṃkalana o jībanakathā: Śrīcaṇḍīdāsa Caṭṭopādhyāẏa],
Samālocanā sambhāra / [lekhaka] Śrīpratibhākānta Maitra.,
"Samāje, sāhitye / Hīrendranātha Datta.",
Samaẏa asamaẏa / Āśāpūrṇā Debī.,
Samālocanā-sañcaẏana / sampādaka Śrīsubodhcandra Senagupta.,
Samāja samikshā : aparādha o anācāra / Nandagopāla Senagupta.,
Samaẏera khān̐cā / Hīraka Rāẏa.,
Samaẏera srote / Sunīla Gaṅgopādhyāẏa.,
Samareśa Basu : samaẏera cihṇa / Pārthapratima Bandyopādhyāẏa.,
Samaẏa asamaẏa / Maṇīndra Ghaṭaka.,
Samāja bhābanā / Amala Gāṅgulī.,
Saba miliẏe / Sunīla Gaṅgopādhyāya.,
Samaẏa asamaẏa / Rabiula Ālama.,
Samaẏa asamaẏa / Subhāshacandra Majumadāra.,
Sabamile sattara : śreshṭha kiśora galpera sambhāra / rāshṭrapati puraskāraprāpta śiśusāhityika Śailenakumāra Datta = Sabmile sattar : a collection of seventy stories for teenager / by Sailen Kumar Dutta.,
Santrāsaklānta Tripurā / Jaẏanta Debanātha.,
Saṅghaguru Śrīmatilāla ; Saṃkshipta jībana-paricaẏa / Śrīnagendrakumāra Guharāẏa.,
Saṅgītera śilpadarśana / Amiẏa Rañjana Bandyopādhyāya.,
Saṅgīta-tattva : tabalā prasaṅga / Debabrata Datta.,
Saṅgīta laharī / Mir Musharraf Husain ; Ābula Āhasāna Cau=udhurī sampādita.,
Saoẏāla sāhitya / Āhamada Śarīpha sampādita.,
Saṅgīta sādhanā / Mobāraka Hosena Khāna.,
"Ūnasattarera gaṇaabhyutthāna : rāshṭra, samāja, o rājanīti / Lenina Ājāda.",
Ūshā lagna / Ajaẏa Rāẏa.,
Carera mānusha / Aśoka Biśvāsa.,
Bibhūtibhūshaṇera kathāśilpa / Pārthapratima Bandyopādhyāẏa.,
Sabāra alakshye ; Bāṅlāra biplaba-itihāsera. aprakāśita kāhinī.,
Sabuja nakshatra / Saiẏada Mustāphā Sirāja.,
Sabija pr̥thibī / Ketaki Kuśārī Ḍāisana.,
Sabuja gandha / Dibyendu Pālita.,
Sabinaẏa nibedana / Buddhadeba Guha.,
Sabuja śiśira / Rākhāla Siṃha.,
"Sabir's poems / French translation, Pierre-Alian Baud ; selection by Mridul Chakraborty & Pierre-Alain Baud ; English conversion by Md. Alamgheer.",
Candaneśvara Jaṃśana / Śyāmala Gaṅgopādhyāẏa.,
Candrabhāgā Draupadī / Satyajībana Dāśa.,
Samudra periẏe / Pratibhā Basu.,
Samudra darpaṇa / Anila Sena.,
Sampādakera kalame / Sunīla Gaṅgopādhyāẏa.,
Samudra nadīsamarpita / [Lekhaka] Śaokata Osamāna.,
Samudrei yāba / Saiẏada Ālī Āhasāna.,
Samrājñīra tailacitra / Māsudā Bhāṭṭi.,
Soma girls / a film by Alexia Prichard & Nandini Sikand ; directed and produced by Alexia Prichard and Nandini Sikand.,
"Serā Tārāśaṅkara / Tārāśaṅkara Bandyopādhyāẏa ; sampādanā, Sarit̲ Bandyopādhyāẏa.",
Serā galpa / Śaokata Ālī.,
Somnath Hore : life and art of an un-ceremonial man 1921-2021 / an interview by Nirmalendu Das and Amit Mukhopadhyay ; edited by Amit Mukhopadhyay.,
Sonāli dina / Sunīla Gaṅgopādhyāẏa.,
Sonāra kauṭo / Āśāpūrṇā Debī.,
Sonāra dāga : śatabarshera āloẏa Bāṃlā calaccitra / Gaurāṅgaprasāda Ghosha.,
Sonālekāna rupālekāna / Buddhadeba Guha.,
Sonāli ḍumura / Selinā Hosena = Sonali dumur / by Selina Hossain.,
Srotobāhī nadī : ātmajībanī bhittika upanyāsa / Saiẏada Ālī Āhasāna.,
Sr̥ṇvantu biśve / Rāmaprasāda Sena.,
Sr̥shṭira bahusvara : jijñāsura dr̥shṭite / Dīpaṅkara Mallika.,
Sére Bāṃlā / [lekhaka] Bi. Ḍi. Hābibullāh.,
Srotera saṅge / Nārāẏaṇa Gaṅgopādhyāẏa.,
Srotera dīẏā / Annadāśaṅkara Rāẏa.,
Suẏeja periẏe / [lekhaka] Sujātā.,
Srotera biruddhe / Śibanārāẏaṇa Rāẏa.,
Suśilāra upākhyāna / Madhusūdana Mukhopādhyāẏa.,
Sōnāra hindole : Najarula saṅgīta.,
Sūnr̥ta upākhyāna / Aśokataru Majumadāra.,
Bamladesera lokakahini / Humayuna Rahamana.,
"Our story : child led alternative report on child rights situation in Bangladesh : in resposne to fifth state party report, Bangladesh / National Children's Task Force.",
"Our story : child led alternative report : child rights situation in Bangladesh in response to fifth state party report, Bangladesh = Āmadera gaḷpa : śiśudera tāiri śiśu adhịkạra bishayaka bikaḷpa pratībedana : pañcama paryāyakramīka rāshtrapākshera pratībedanēra bhīttīte Bāmlādeśera śiśu adhīkāra parīsthītīra prekshīte / submitted by National Children's Task Force ; supported by Manusher Jonno Foundation, Plan International Bangladesh, Save the Children in Bangladesh.",
Bandī jībana / Satyendranārāẏaṇa Majumadāra.,
Baṃgālī bhailī / Sāiphula Isalāma.,
Bamladesera calaccitra : utsa-sandhana o bibartanera dhara / Da. Mohammada Jahangira Hosena.,
"Bamladesera citrakala : bicitra binyasa itihasera patha / sampadana, Raseda Sukhana.",
Bamladesera paharasumari / Jiyaula Haka.,
Our school / Mahfuz Ullah.,
Bandhu-bāndhaba / Sunīla Gaṅgopādhyāẏa.,
"Banamoragera galpa / Caudhurī Ābadura Rahamāna ; śilpī, Enāẏeta Hosena.",
Banānīdera bāṛi / Mati Nandī.,
Banalatā Sena : kābya parikramā / Nandakumāra Berā.,
"Bande mātaram : preraṇā o bitarka / sampādanā, Aśokakumāra Rāẏa.",
Bandara sundarī / Himādrikiśora Dāśagupta = Bondor sundori / by Himadrikishore Dasgupta.,
Bandī parabāsa / Mānasa Guha.,
Bane banāntare / Śaktipada Rājaguru.,
Ababāhikāra upakathā / [lekhaka] Ālāuddina Khāna.,
Abasita smaraṇa : jībanera galpaguccha / Ābadusa Sāttāra = Obisito saron : jiboner golpo guchchho / by Abdus Sattar.,
Bahe Madhumatī / Śyāmādāsa De.,
Lokasādhanāra saṃskr̥ti / Māsuda Siddikī = Loksadhonar songskriti / by Masud Siddiqi.,
Abhinaba saṃgītagranthamālā / Praphullakumāra Dāsa.,
Abhinaẏa-bhābanā / Mohāmmada Jākāriẏā.,
Abhibhūta pratidhvani : sva-nirbācita kabitā / Saiẏada Śāmasula Haka.,
Baishñabīẏa nibandha / Śrī Sukumāra Sena.,
Baishṇabapadābali paricaẏa / Sanātana Gosvāmī.,
Baiśākhī megha / Ut̲pala Datta.,
Baishṇaba padābalī / Harekr̥shṇa Mukhopādhyāẏa sampādita.,
"Baiṭhakī gāna / kathā, sura, o svaralipi, Amalendubikāśa Karacaudhurī.",
Baishṇabī pañcakā / Dilīpa Mukhopādhyāẏa.,
Baishṇaba padābalī : caẏana / Khagendra Nātha Mitra [and others] sampādita.,
Ballabhapurera rūpakathā : ekaṭi hāsikhuśīra pūrṇāṅga nāṭaka / Bādala Sarakāra.,
"Balendra-racanābalī / Balendranātha Ṭhākura ; bhumikā Haripada Cakrabartī ; sampādanā, Sadānanda Bhaṭṭācārya, Dilīpa Cakrabartī.",
Bamladesera tantasilpa / Saona Akanda.,
"Our world / photo[graphs by] Mahmud ; text, Sushma Amatya.",
Parakapakshīra bibhum̐ibāsa / Kādera Māhamuda.,
Padmāpāṛera Draupadī / Kāmarujjāmāna Jāhaṅgīra.,
Paramārtha pariciti / Sugata Baṃśa Mahāsthabira.,
Parājita svapna : Nārībarjita pūrṇāṅga nāṭaka / Manṭu Gaṅgopādhyāẏa.,
Paraśurāmera kuṭhāra / Śakti Caṭṭopādhyāẏa.,
Paraśurāmera galpa : mana o śilpa / Jyot̲snā Gupta.,
Parasá maṇi / [lekhaka] Mashṭara.,
Paraśurāma granthābalī / Rājaśekhara Basu.,
Bamladesera lokabhasha : samiksha o abhidhana / Muhammada Sulatana Mahamuda.,
Bamladesera nadanadi : bartamana gatiprakrti / Manika Mohammada Rajjaka.,
Bamladesera nayakera / sampadaka Matiura Rahamana.,
"Bamladesera natyacarca : Thiyetara patrikaya prakasita prabandhabalira nirbacita samkalana, 1972-2014 / Ramendu Majumadara sampadita.",
Banamoragera ḍāka / Mr̥gāṅka Siṃha.,
Bandha duẏāra / Samareśa Basu.,
Banabibi upākhyāna / Barena Gaṅgopādhyāẏa.,
"Banaphulera kathāsāhitya / sampādanā, Dhīmāna Dāśagupta.",
Bandi tomāẏa : Rāmakr̥shṇa-Bibekānanda bhābāñjali / Svāmī Śraddhānanda.,
Bandhu ke? / Mahendrajī lekhanī-prasūta.,
"Banasāi, banasāi / Ajita Bāirī.",
Bandhuẏāra lāgi / [lekhaka] Ābadura Rajjāka.,
"Bande mātaram / Yogīndranātha Sarakāra saṃkalita ; bhūmikā, Sakhārāma Gaṇeśa Deuskara ; punaruddhāra o nabarūpāẏaṇa, Pārthajit̮a Gangopādhyāẏa.",
Banalatāra Bijana / Ābeśa Kumāra Dāsa.,
Banabibira pālā / Sujita Kumāra Maṇḍala sampādita.,
Bandarera kathyabhāshā / Raṇajit̲ Dāśa.,
"Banabāsī-baibhawa / sampādanā, Ḍa. Māẏāśrī Gosvāmī, Karabī Dāsa = Banabashi-boibhawa / edited by Dr. Mayashree Goswami and Karabi Das.",
Bandīśālā Pākistāna / Saiẏada Nājamuddīna Hāsema.,
Parabera āṅināẏa / Saritā Bhaumika.,
Parabāse 71 / Nārgisa Isalāma Nājamā.,
Basanta batase : Saha Abdula Karimera gana / Candana Majumadara.,
Padārthatattva-nirūpaṇam / Raghunāthaśiromaṇi-viracitam ; Vaṅgabhāṣayā'nūdya vivr̥tyā samalaṅkr̥tya Śrīmadhusūdanabhaṭṭācārya-Nyāyācāryeṇa sampāditam.,
Pada dhvani / Aruṇa Bhūshaṇa Dāśa.,
Padatale rakta / Raśīda Karīma.,
Parakapāle rājārānī / Āśutosha Mukhopādhyāẏa.,
Basanta Kumārī / [nāṭyakāra] Mīra Masā́rarapha Hosena. sampādanāẏa: Mohāmmada Ābadula Auẏāla.,
Basatapārera Niuiẏarka / Ābu Rāẏahāna.,
Basantera bhorabelā / Rudrendra Prasāda Ghosha.,
Padābalī samīkshā / [lekhaka] Ebādata Hosena.,
Pada cihna / [Lekhaka] Satyena Sena.,
Padābalī-paricaẏa / Śrīharekr̥shṇa Mukhopādhyāẏa. Sunītikumāra Caṭṭopādhyāẏa likhita bhūmikā saha.,
Padābalī kīrtana / Nihārarañjana Gupta.,
Padābalīra patha / Rāmajībana Ācārya.,
Padābalīra abhisāra : gānera Śrīkshetre / Sukumāra Sena.,
Pada-Sevanam : meditation on the lotus feet and hands of their lordships : featuring descriptions of the markings on their footsoles and handpalms / compiled by Īśvara Dāsa ; assisted by Raktak Dāsa.,
Padmāsanā Bhāratī / Pratibhā Basu.,
Paramārtha prasaṅga / Gopinātha Kavirāja ; vāṇī sañcayana aura saṅkalana Jagadīśvara Pāla ; anuvādikā Kauśalyā Vallī.,
Parama ratana / Samareśa Basu.,
"Paramārtha prasaṅge / Gopīnātha Kabirāja ; bāṇī sañcaẏana o saṃkalana, Jagadīśvara Pāla.",
Paramarshi Byāsa / Svāmī Bidyāraṇya.,
Padmāpārera ḍheusoẏāra / Muhammada Nūrula Hudā.,
Parakapāle rājārānī / Āśutosha Mukhopādhyāẏa.,
Paraśurāmera kuṭhāra : [samājacetanāra galpasaṃgraha] / Mihira Ācārya sampādita.,
Pariciti-citrakathā : janmasiddha Ṭhākura Śrīśrībālaka Brahmacārī Mahārājera saṃkshipta pariciti / Rāẏadā kartr̥ka saṃgr̥hita o sampādita.,
Paribrājakera ḍāẏerī / Nirmalakumāra Basu.,
Paribeśera jātapāta : gariba deśe paribeśa o unnaẏana / Mohita Rāẏa.,
Paricita barṇamālā / Sāgara Cakrabartī.,
"Paritosh Sen / [editor, Jaya Appasamy, assistant editor, S. A. Krishnan].",
Parisarera māpajoka / Sālamā Bāṇī.,
Parāsta sahisa / Maīnula Āhasāna Sābera.,
Parābāstaba kabitā / Ābadula Mānnāna Saiẏada.,
"Paribeśa śabdakosha / sampādanā parishada, Āinuna Niśāta [and others].",
Paribartane aparibartanīẏa / Saiyada Mujatabā Ālī.,
Paribeśa--kabitā / Raphika Ājāda.,
Tabalā bijñāna = A guide to practical studies in tabla : subsidized by lessons on vocal music and Kathak dance / Moḥ. Kāmarujjāmāna (Mani).,
Tabu Bihaṅga / Śaktipada Rājaguru.,
Sphūliṅgera pākhi / Ajita Sānyāla.,
Taba kathāmr̥tam / Svāmī Lokeśvarānanda.,
Tabalā-tattva / Svāmī Svarūpānanda.,
Tahāphutula phalāsiphā : [lekhaka] Āl-Gāyyālī / Ābula Kāsima Muhammada Ādamuddīna anūdita.,
Taruṇera svapna ; āmi Subhāsha Bosa balachi / [Sampādanāẏa: Hāsīnā Jahira],
Tabuo duḥkha / Badarula Ālama.,
Sūphī darśana / Phakīra Ābadura Raśīda.,
Raja Oedipus : drama / Sambhu Mitra.,
Rahasyera pān̐cakāhana / Cinmaẏa Caudhurī = Rahasyer panchkahan / by Chinmay Choudhuri.,
Pu. Ghosha / Arijit̲a Caudhurī.,
"Pubera Bhānu / saṃkalana, Gautama Byānārjī.",
Āgunera gāṛi / Amara Mitra.,
"Ādya paricaẏa / [lekhaka] Sekha Jāhida, sampādaka Sŕīmanīndra Mohana Caudhurī.",
"Roots & blossoms : International Seminar on Roots & Blossoms, February 14-20, 2001, Dhaka, Bangladesh = Śikaṛera hoka ḍānā / edited by Shafi Ahmed.",
Cuẏāḍāṅgāra sthānanāma / Rājiba Āhameda.,
Āḍḍāra abhidhāna / Sampādanā: Kumāreśa Ghosha.,
"Ādhunika kabitā : bicchinnatā, biśuddhatā, ityādi prasaṅga / Taruṇa Sānyāla.",
Pūjya Rabīndranātha / Śiśirakumāra Māiti.,
"Pūrba Bāṃlā : Ādhā-aupanibeśika, ādhā sāmantabādī / [lekhaka] Ābadula Haka.",
Pyārīcān̐da racanābalī / Mohāmmada Manirujjāmāna sampādita.,
Rahasya 25 / Gautama Rāẏa = Rahasya 25 / by Goutam Ray.,
Rahasya cāra / Nabakumāra Basu = Rahasya char : a collection of Bengali thrillers / by Nabakumar Basu.,
Ābr̥tā ; anābr̥tā / Āśāpūrṇā Debī.,
Ābahamāna Bāṃlā / Golāma Solāẏamāna.,
Pūrṇa-apūrṇa : badhūrūpe / Śibānīśaṅkara.,
Rahasyamaẏa Rājagr̥ha / Manorañjana Cakrabartī.,
Thiẏeṭārera bhāshā / Bādala Sarakāra.,
Śesha anveshaṇa / [lekhaka] Bijaẏa Cakrabartī.,
"Śiśira-basantau / Bibhūtibhūshaṇa Mukhopādhyāẏa racita, Śaila Cakrabartī citrita.",
Śesha adhyāẏa / Śailajānanda Mukhopādhyāẏa.,
Śikshāra saṅkaṭa / Annandāśaṅkara Rāẏa.,
Śekha Mujiba : tan̐ke yemana dekhechi / Ābula Phajala.,
"Śiśirakumārera nāṭyacarcā / sampādanāẏa, Sunīla Datta, Dīptikumāra Śīla.",
Śibānanda-smr̥tisaṃgraha / Svāmī Apūrbānanda saṃkalita.,
Śikshāra bhabishyat̲ / Ānnadāśaṅkara Rāẏa.,
"Śiśuśikshāra bhāshā / sampādanā, Nārāẏaṇa Caudhurī, Manorañjana Caṭṭopādhyāẏa.",
Śikshaka Rabīndranātha / Kālīpada Rāẏa.,
Śiśurā mātr̥kroṛe : kanyārūpe / Śibānīśaṅkara.,
Śāntira sapakshe / Amlāna Datta.,
Śārābāna Tahurā / [lekhaka] Śekha Mochalema Āhamada.,
Śirājī-smr̥ti / Ābadura Raśida Tarkabāgīśa.,
Śāmasura Rāhamāna / Ijāja Hosena.,
Śālamahuẏāra Bhubanacandra / Amara Mitra.,
Tārāśaṅkara bicitrā / Biśvanātha De sampādita.,
Tārāśaṅkarera śilpimānasa / Nitāi Basu.,
Śīlura cokha / Rabiula Ālama.,
Śreshṭha galpa / Tapana Bandyopādhyāẏa.,
Śreshṭha galpa / Śānti Biśvāsa.,
Śrīharibāsara kīrtana / Premādri Dāsa Brahmacārī.,
Śrīhaṭṭera itibr̥tta / Acyutacaraṇa Caudhurī.,
Śrīhaṭṭa darpaṇa / Māhāmmada Āhamada.,
Śrībhakti sandarbha : Śrīmajjībagosvāmipāda-biracita Śrībhāgatasandarbhetyapara nāma dheẏa-shaṭsandarbhantargatabhideẏātmaka pancama / Śrīmadbhakti Siddhānta Sarasvatī Gosvāmi-nirmmita sakala kusiddhānta nirāsapara-Śrīgauṛīẏabhāshya-sametā ; Bhaktibilāsa Bhāratī Mahāraja karttr̥ka saṅkalita.,
"Śrīsāmba-purāṇam : mūla o Baṅgānubāda sameta / Vaśiṣṭha-viracitam ; anubāda o sampādanā, Bijana Bihārī Gosvāmī.",
"Śrīśrīmā Sāradā : kālānukramika jībanī o kathāmr̥ta / Nalinīrañjana Caṭṭopādhyāẏa, Reṇukā Caṭṭopādhyāẏa.",
Śrīśrībholānanda caritāmr̥ta / Svāmī Dhrubānanda Giri likhita ; Pramathanātha Tarkabhūshaṇa likhita 'prastābanā' saha.,
Śrīnandalāla Basu / [Lekhaka] Kānāi Sāmanta.,
Śrīmā Sāradāmaṇi / [lekhaka] Brahmacārī Arupacaitanya.,
Śrīrāmakr̥shṇa mela / Sañjība Caṭṭopādhyāẏa.,
Śrīrāmakṛshṇera sādhanā / Srīnīradabaraṇa Cakrabartī.,
Śubha saṃbāda / Jarāsandha sampādita.,
Śrīśrīsāradā pun̐thi / Snehalatā Debī.,
Śrīśrīcandī paricaẏa / Haralāla Bhaṭṭācārẏa.,
